vehicle_id,priority_rank,mark,model,generation,restyling,body_type,year_from,year_to,origin_category,vehicle_type_category,ads_count,avg_price_inflation_adj,avg_age,score_origin,score_type,score_ads,score_price,score_age,priority_score,has_real_metrics,ready_for_3d_search,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,dimensions_source_url,model_3d_status,model_3d_source,model_file_path,format,scale_check_status,materials_editable,data_quality_note
toyota_corolla_g7_r0_xetchbek 3 dv,62,toyota,Corolla,7,0,хэтчбек 3 дв.,1991,1995,локализованные,легковые,255977.0,497347.80917285546,33.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.6990740740740741,0.6786741558555702,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_granta_g1_r1_liftbek,63,lada,Гранта,1,1,лифтбек,2013,2018,да,легковые,97837.0,405499.64464486856,10.5,1.0,1.0,0.34878381798801467,0.0034274841738933925,0.9074074074074074,0.6784508178638284,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g7_r0_sedan,64,toyota,Corolla,7,0,седан,1991,1995,локализованные,легковые,255977.0,497347.80917285546,33.82608695652174,0.6,1.0,0.9125446955356156,0.00420383042839267,0.6914251207729468,0.6779092605254575,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g6_r1_sedan,65,toyota,Corolla,6,1,седан,1989,1991,локализованные,легковые,255977.0,497347.80917285546,36.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.6712962962962963,0.6758963780777925,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_granta_g1_r0_sedan,66,lada,Гранта,1,0,седан,2011,2014,да,легковые,97837.0,405499.64464486856,13.5,1.0,1.0,0.34878381798801467,0.0034274841738933925,0.8796296296296297,0.6756730400860507,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g6_r0_xetchbek 3 dv,67,toyota,Corolla,6,0,хэтчбек 3 дв.,1987,1992,локализованные,легковые,255977.0,497347.80917285546,36.5,0.6,1.0,0.9125446955356156,0.00420383042839267,0.6666666666666667,0.6754334151148295,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g6_r0_liftbek,68,toyota,Corolla,6,0,лифтбек,1987,1992,локализованные,легковые,255977.0,497347.80917285546,36.5,0.6,1.0,0.9125446955356156,0.00420383042839267,0.6666666666666667,0.6754334151148295,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g6_r0_xetchbek 5 dv,69,toyota,Corolla,6,0,хэтчбек 5 дв.,1987,1992,локализованные,легковые,255977.0,497347.80917285546,36.5,0.6,1.0,0.9125446955356156,0.00420383042839267,0.6666666666666667,0.6754334151148295,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g6_r0_universal,70,toyota,Corolla,6,0,универсал,1987,1994,локализованные,легковые,255977.0,497347.80917285546,36.67796610169491,0.6,1.0,0.9125446955356156,0.00420383042839267,0.6650188323917138,0.6752686316873342,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g6_r0_kupe,71,toyota,Corolla,6,0,купе,1987,1991,локализованные,легковые,255977.0,497347.80917285546,37.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.662037037037037,0.6749704521518665,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g6_r0_sedan,72,toyota,Corolla,6,0,седан,1987,1992,локализованные,легковые,255977.0,497347.80917285546,37.616,0.6,1.0,0.9125446955356156,0.00420383042839267,0.6563333333333333,0.6744000817814961,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g5_r1_xetchbek 5 dv,73,toyota,Corolla,5,1,хэтчбек 5 дв.,1985,1987,локализованные,легковые,255977.0,497347.80917285546,40.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.6342592592592593,0.6721926743740887,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g5_r1_sedan,74,toyota,Corolla,5,1,седан,1985,1987,локализованные,легковые,255977.0,497347.80917285546,40.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.6342592592592593,0.6721926743740887,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
